#mass radius vx vy vz x y z
#MSun parsec kms kms kms parsec parsec parsec
10.6269696364 1.01734726412e-12 -23.2476262119 34.9076393281 0.0 8.01833138789 5.09051419259 -0.00230583356384
5.06553608039 4.84936858671e-13 -23.2476262119 40.2198055008 0.0 8.02095670591 5.09051419259 -0.00230583356384
1.79841117462 1.72166548965e-13 28.0973411594 37.8690327446 0.0 5.38628078417 -3.36485876957 -0.00995791449502
15.5214141604 1.48590508598e-12 28.0973411594 45.8143309309 0.0 5.38797121753 -3.36485876957 -0.00995791449502
4.61551234972 4.41854924042e-13 -31.4617434339 -49.6534417133 0.0 -4.66083032983 3.12846875995 -0.00383995387854
8.99318395143 8.60940738679e-13 -31.4617434339 -45.4113979539 0.0 -4.65752632755 3.12846875995 -0.00383995387854
15.13154681 1.44858207709e-12 19.6198697807 -41.2791436327 0.0 -8.01520013731 -3.90760175707 -0.0132766808997
2.59153636805 2.48094473222e-13 19.6198697807 -34.1892796123 0.0 -8.01319030304 -3.90760175707 -0.0132766808997
1.08338178822 1.0371493812e-13 12.5898537211 -49.0073206706 0.0 -8.16697647928 -2.32962946064 -0.00272071314874
15.0661086636 1.44231751424e-12 12.5898537211 -43.7692292314 0.0 -8.16388308038 -2.32962946064 -0.00272071314874
1.01274829455 9.69530112493e-14 86.488658763 3.14052727072 0.0 0.289908826802 -2.33399920511 0.000100331292421
23.2744740344 2.22812554216e-12 86.488658763 11.1601864714 0.0 0.292243797755 -2.33399920511 0.000100331292421
22.3584926645 2.14043627866e-12 57.4805665949 -55.2953960115 0.0 -1.95356486998 -2.04444807668 0.00217356468149
1.46272394274 1.40030342818e-13 57.4805665949 -49.1759465814 0.0 -1.95025798867 -2.04444807668 0.00217356468149
25.2051878745 2.41295776718e-12 -27.3286747437 37.4108486538 0.0 6.61471982025 4.75139499068 -0.00182044293165
1.95631773784 1.87283352304e-13 -27.3286747437 46.2420514905 0.0 6.61696315789 4.75139499068 -0.00182044293165
19.6668946456 1.88276264504e-12 -52.2518459687 49.6298673646 0.0 2.36355687439 2.47370947969 -0.000954493211802
1.1622569374 1.1126585997e-13 -52.2518459687 54.9995197419 0.0 2.36727703431 2.47370947969 -0.000954493211802
1.69387867476 1.62159382634e-13 -25.8277735465 -45.6121851168 0.0 -6.57661718709 4.2184576807 0.0131228243753
9.07434040393 8.68710055592e-13 -25.8277735465 -39.2581972125 0.0 -6.57505651675 4.2184576807 0.0131228243753
1.04855777285 1.00381145141e-13 66.5674159088 81.7900874595 0.0 1.18811229596 -0.91929237543 -0.00185818549792
16.7709514242 1.60552651713e-12 66.5674159088 86.5577274472 0.0 1.19169395225 -0.91929237543 -0.00185818549792
2.1686591523 2.07611344615e-13 59.1488850019 -38.9819891331 0.0 -1.9082000323 -3.36368908334 0.000518054975749
14.7671078516 1.41369339386e-12 59.1488850019 -32.7198542346 0.0 -1.90604362662 -3.36368908334 0.000518054975749
12.6283054696 1.20894031502e-12 -28.229162669 41.0353679366 0.0 5.72745052249 3.81012657063 0.00457802860855
3.58892919199 3.4357746559e-13 -28.229162669 47.3751219536 0.0 5.72976444996 3.81012657063 0.00457802860855
1.15319574914 1.10398409003e-13 16.3652233323 -51.6638626995 0.0 -7.04143064821 -2.49917277993 0.00225748708538
16.153355972 1.54640250859e-12 16.3652233323 -45.6977779179 0.0 -7.03917733142 -2.49917277993 0.00225748708538
8.9795304836 8.59633656922e-13 -36.4360528777 117.722137909 0.0 1.10818474431 0.340351158032 5.3213197735e-06
1.91147243085 1.82990195182e-13 -36.4360528777 123.141115312 0.0 1.11016907657 0.340351158032 5.3213197735e-06
3.09444582019 2.96239294629e-13 -98.3684876512 8.013429478 0.0 0.21685528984 1.80669188843 0.000862988333953
13.4833523582 1.29079616316e-12 -98.3684876512 12.8559430848 0.0 0.220128860046 1.80669188843 0.000862988333953
10.4031889782 9.95924163447e-13 -54.5908051711 -36.5437484261 0.0 -2.29062178564 3.62158780543 -0.00554791948641
6.89755911779 6.60321158116e-13 -54.5908051711 -31.4435345221 0.0 -2.28765527536 3.62158780543 -0.00554791948641
1.04787310048 1.00315599686e-13 28.6143025352 42.8747179513 0.0 4.53361192685 -2.53522657125 -0.00166379647036
24.7274482543 2.36722251882e-12 28.6143025352 51.5448440319 0.0 4.53572869648 -2.53522657125 -0.00166379647036
2.49078660752 2.38449438303e-13 23.7806171808 44.2295674176 0.0 5.43216588188 -2.64304982499 0.00156314406934
18.844770448 1.80405857118e-12 23.7806171808 49.5210304996 0.0 5.43566831179 -2.64304982499 0.00156314406934
13.3322317609 1.27632899788e-12 34.7322563098 -25.2882906291 0.0 -5.70253874657 -7.98919952448 0.0061741701944
1.35735367823 1.29942975113e-13 34.7322563098 -19.8982704344 0.0 -5.70008738678 -7.98919952448 0.0061741701944
