#mass/MSun,name,radius/m,vx/kms,vy/kms,vz/kms,x/pc,y/pc,z/pc
11.9176475915,BBH1_1,35204.7176924,14.4160867751,-45.4803320364,0.0,-7.70452981593,-2.48332806013,0.00638278057345
2.24326197811,BBH1_2,6626.5933812,14.4160867751,-40.7005477215,0.0,-7.70150689954,-2.48332806013,0.00638278057345
1.04800634848,BBH2_1,3095.80958447,69.1854655442,-1.22413415552,0.0,0.319999169647,-3.69117525183,-0.000209458451437
27.1464894799,BBH2_2,80190.6996444,69.1854655442,6.32901574422,0.0,0.322789858785,-3.69117525183,-0.000209458451437
14.0732463263,BBH3_1,41572.3539506,42.0912159673,36.9466496827,0.0,3.70755257527,-4.05641356419,-0.0025456340606
3.21377926483,BBH3_2,9493.50036367,42.0912159673,45.1639057162,0.0,3.70911892179,-4.05641356419,-0.0025456340606
8.97845720277,BBH4_1,26522.3525624,49.9304397921,17.4558186074,0.0,2.21734436913,-5.86756241556,0.00338973961818
2.27188443693,BBH4_2,6711.14409263,49.9304397921,24.4644903566,0.0,2.21879580978,-5.86756241556,0.00338973961818
16.5198677775,BBH5_1,48799.6709887,-43.8391416074,-48.3094056183,0.0,-3.1557827599,2.93003037616,-0.00390138699813
3.90484364908,BBH5_2,11534.9037839,-43.8391416074,-42.5492289842,0.0,-3.1527450937,2.93003037616,-0.00390138699813
22.5411457423,BBH6_1,66586.5193804,22.1647107846,-37.1484262306,0.0,-8.32942311482,-5.03356493322,-0.00411994573212
1.47898745896,BBH6_2,4368.9273041,22.1647107846,-29.4912850571,0.0,-8.32691514811,-5.03356493322,-0.00411994573212
16.1377615756,BBH7_1,47670.9296944,52.4206053052,31.951459707,0.0,2.4755831673,-3.99097093135,-0.00343527175015
1.08521531649,BBH7_2,3205.72483447,52.4206053052,40.9332317995,0.0,2.47692298453,-3.99097093135,-0.00343527175015
15.1797730377,BBH8_1,44841.0326219,-16.5419517164,-45.7026531322,0.0,-7.25590832569,2.65780674665,-0.00416065191365
1.61425918132,BBH8_2,4768.51982108,-16.5419517164,-40.0411527023,0.0,-7.25313178959,2.65780674665,-0.00416065191365
29.2926877082,BBH9_1,86530.566817,-54.38744238,-9.43047706889,0.0,-0.926620508017,5.81935273056,-0.00356504844029
3.88914630482,BBH9_2,11488.5338465,-54.38744238,-2.82222509272,0.0,-0.922771858686,5.81935273056,-0.00356504844029
18.6550648213,BBH10_1,55107.0406743,75.2609745254,11.250316196,0.0,0.541102027111,-3.00701372468,-0.000354040809656
11.5673512607,BBH10_2,34169.9427219,75.2609745254,17.339979012,0.0,0.545081262298,-3.00701372468,-0.000354040809656
4.08423639805,BBH11_1,12064.8297643,-49.1646025341,-9.64596645186,0.0,-0.853451479724,7.24339912386,-0.00153175780127
12.800348862,BBH11_2,37812.2162607,-49.1646025341,-4.54053585617,0.0,-0.850087516587,7.24339912386,-0.00153175780127
12.6728657834,BBH12_1,37435.6313888,-10.9528063352,-49.481254521,0.0,-6.91291865161,1.54445101828,0.00568285895611
1.31382546574,BBH12_2,3881.03896035,-10.9528063352,-44.6000480222,0.0,-6.91035923693,1.54445101828,0.00568285895611
1.03485102018,BBH13_1,3056.94875934,16.1679785618,36.4834536948,0.0,7.77996869471,-2.8929157695,0.00510653086982
15.7202510521,BBH13_2,46437.6040736,16.1679785618,43.9512864416,0.0,7.78172744021,-2.8929157695,0.00510653086982
8.22538453343,BBH14_1,24297.7767372,-43.9135003762,-5.30765074155,0.0,-0.85929154939,9.14697551013,-0.00419046194931
3.18083671968,BBH14_2,9396.18812203,-43.9135003762,-1.05469653174,0.0,-0.856515045731,9.14697551013,-0.00419046194931
26.9063709657,BBH15_1,79481.3898213,50.9142978335,-6.31223317349,0.0,-0.799304454369,-6.75199827812,-0.00547175272519
1.48136921797,BBH15_2,4375.96301758,50.9142978335,-0.819643584642,0.0,-0.795123115765,-6.75199827812,-0.00547175272519
12.9841009126,BBH16_1,38355.0196135,-39.3774395998,-85.8828278978,0.0,-1.83782137558,0.84814099487,0.000437764776248
1.25970598342,BBH16_2,3721.17006995,-39.3774395998,-79.4972077381,0.0,-1.83583151899,0.84814099487,0.000437764776248
15.6439956066,BBH17_1,46212.3455726,-58.8427738398,-0.518442115583,0.0,0.0109749858012,5.16147178113,-0.00156715550432
1.71667226302,BBH17_2,5071.0479502,-58.8427738398,6.01336219773,0.0,0.0130349551788,5.16147178113,-0.00156715550432
13.3954465243,BBH18_1,39570.1340916,14.4259075037,39.2019376333,0.0,9.38369811219,-3.40302350942,-0.00676137166112
1.35125387214,BBH18_2,3991.60243111,14.4259075037,45.5062711265,0.0,9.38565412126,-3.40302350942,-0.00676137166112
5.87768604911,BBH19_1,17362.6780331,88.8993246583,-82.9033300516,0.0,-0.834491679918,-0.919192025729,0.000768383233702
4.8734317649,BBH19_2,14396.1119977,88.8993246583,-77.856061214,0.0,-0.832390079545,-0.919192025729,0.000768383233702
5.57176378814,BBH20_1,16458.9840154,83.7755883665,-4.2094785015,0.0,-0.0424692186789,-2.54531362004,-0.00283286439681
6.64793349767,BBH20_2,19637.988137,83.7755883665,1.034667107,0.0,-0.0401608721667,-2.54531362004,-0.00283286439681
